INPUT: [ 3, 8, 6, 8] | DESEMPENHO:  30.0,
INPUT: [ 2, 1,10, 5] | DESEMPENHO:   0.0,
INPUT: [ 5,10, 9, 1] | DESEMPENHO:  80.0,
INPUT: [10, 3, 7, 4] | DESEMPENHO:  30.0,
INPUT: [ 1, 6, 7, 4] | DESEMPENHO:  30.0,
INPUT: [ 8,10, 3, 4] | DESEMPENHO:  30.0,
INPUT: [ 9, 4, 8, 2] | DESEMPENHO:  80.0,
INPUT: [10, 1, 5, 5] | DESEMPENHO:  40.0,
INPUT: [ 7, 9, 2, 1] | DESEMPENHO:   0.0,
INPUT: [ 9, 3, 9, 1] | DESEMPENHO:  30.0,
INPUT: [ 8,10, 9, 2] | DESEMPENHO:  80.0,
INPUT: [ 9, 6, 6, 7] | DESEMPENHO:  30.0,
INPUT: [ 4, 5, 3, 1] | DESEMPENHO:  30.0,
INPUT: [10, 3, 9, 3] | DESEMPENHO:  30.0,
INPUT: [ 8, 5, 5,10] | DESEMPENHO:  40.0,
INPUT: [ 6, 7, 4, 4] | DESEMPENHO:  30.0,
INPUT: [ 5, 1, 1,10] | DESEMPENHO:   0.0,
INPUT: [ 8, 5, 8, 9] | DESEMPENHO:  80.0,
INPUT: [ 7, 5, 9, 9] | DESEMPENHO:  30.0,
INPUT: [ 3, 4,10, 5] | DESEMPENHO:  30.0,
INPUT: [10, 7, 9, 4] | DESEMPENHO:  30.0,
INPUT: [ 6, 8, 8, 1] | DESEMPENHO:  80.0,
INPUT: [ 4, 7, 3, 4] | DESEMPENHO:  30.0,
INPUT: [ 7, 1, 3, 8] | DESEMPENHO:   0.0,
INPUT: [ 3,10, 8, 5] | DESEMPENHO:  30.0,
INPUT: [10, 5, 7, 6] | DESEMPENHO:  30.0,
INPUT: [10, 7, 8, 4] | DESEMPENHO:  30.0,
INPUT: [ 8,10, 4, 9] | DESEMPENHO:  80.0,
INPUT: [ 3, 6, 4, 7] | DESEMPENHO:  30.0,
INPUT: [ 6, 6, 2, 5] | DESEMPENHO:  40.0,
INPUT: [ 7, 3,10, 7] | DESEMPENHO:  30.0,
